canonical_smiles,value
*CC(*)c1ccc(C(=O)OCCCCCC)cc1,1.05
*CC(*)c1ccc(C(=O)CCCCC)cc1,1.03
*CC(*)c1ccc(C(=O)OCC)cc1,1.14
*CC(*)c1ccc(C(=O)N(C)C)cc1,1.11
*CC(*)c1ccc(C(=O)N(CC)CC)cc1,1.07
*CC(*)C(=O)Oc1ccc(Cl)cc1,1.15
*CC(*)c1ccc(C(=O)CCC)cc1,1.06
*CC(*)c1ccc(C(=O)OCCCC)cc1,1.09
*CC(*)c1ccc(C(=O)c2ccccc2)cc1,1.15
*NC(C)CC(*)=O,1.18
*CC(*)c1ccc(C(C)=O)cc1,1.12
*CC(*)C(=O)OCCSCC,1.19
*CC(*)C(=O)OCCSC,1.24
*CC(*)C(=O)Oc1cccc(N(C)C)c1,1.14
*Oc1c(Cl)cc(C(C)(C)c2cc(Cl)c(OC(*)=O)c(Cl)c2)cc1Cl,1.4
*CC(*)c1cc(C(C)C)ccc1C(C)C,0.95
*NCC(C)(C)CC(C)CCNC(=O)c1ccc(C(*)=O)cc1,1.13
*CC(*)c1ccccn1,1.12
*CC(*)c1ccccc1OC,1.06
*CC(*)c1ccccc1C(=O)OCCC(C)C,1.07
*CC(*)c1ccccc1C(=O)OCC(C)C,1.09
*CC(*)c1ccccc1C(=O)OCCCCCC,1.05
*CC(*)(C)C(=O)OCCS(=O)CC,1.2
*CC(*)c1ccccc1C(=O)OCC,1.14
*CC(*)c1ccccc1C(=O)N(C)C,1.11
*OC(=O)Oc1ccc(C(C)(C)c2ccc(*)c(Cl)c2)cc1Cl,1.34
*CC(*)(C)C(=O)OCCCl,1.28
*CC(*)c1ccccc1C(=O)OCCCC,1.09
*NCCCCCCCCCC(*)=O,1
*OCCOCCOCCOCCOC(=O)NCCCCCCNC(*)=O,1.17
*OCCOCCOC(=O)NCCCCCCNC(*)=O,1.2
*NCCCCCCNC(=O)c1ccc(C(*)=O)cc1,1.19
*CCCCCCCC(=O)N*,1.03
*CCCCCCNC(=O)CCCCC(=O)N*,1.08
*CCCCCCNC(=O)CCCCCCCCCCC(=O)N*,1.01
*CCCCCCNC(=O)CCCCCCCCC(=O)N*,1.03
*NCCCCCC(*)=O,1.08
*CCCCCCCCCCCC(=O)N*,0.98
*CCCCCCCCCCC(=O)N*,0.99
*Nc1ccc(NC(=O)c2ccc(C(*)=O)cc2)cc1,1.4
*Oc1ccc(Cc2ccc(OC(*)=O)cc2)cc1,1.25
*CC(C)(C)C(=O)O*,1.15
*OCCOC(=O)Nc1ccc(Cc2ccc(NC(*)=O)cc2)cc1,1.32
*CC(*)C(=O)N1CCOCC1,1.13
*Oc1ccc(C(=O)c2ccc(Oc3ccc(*)cc3)cc2)cc1,1.29
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,1.3
